City A,City B,Points
Los Angeles,New York,21
Duluth,Houston,8
Sault St. Marie,Nashville,8
New York,Atlanta,6
Portland,Nashville,17
Vancouver,Montreal,20
Duluth,El Paso,10
Toronto,Miami,10
Portland,Phoenix,11
Dallas,New York,11
Calgary,Salt Lake City,7
Calgary,Phoenix,13
Los Angeles,Miami,20
Winnipeg,Little Rock,11
San Francisco,Atlanta,17
Kansas City,Houston,5
Los Angeles,Chicago,16
Denver,Pittsburgh,11
Chicago,Santa Fe,9
Vancouver,Santa Fe,13
Boston,Miami,12
Chicago,New Orleans,7
Montreal,Atlanta,9
Seattle,New York,22
Denver,El Paso,4
Helena,Los Angeles,8
Winnipeg,Houston,12
Montreal,New Orleans,13
Sault St. Marie,Oklahoma City,9
Seattle,Los Angeles,9
